Step,AgentID,X,Y,Velocity,Current_lane,Is_alive
1,0,0.4,50.0,[0.329 0.   ],0,True
1,1,0.0,50.0,[0.5 0. ],0,False
1,2,0.0,50.0,[0.5 0. ],0,False
1,3,0.0,50.0,[0.5 0. ],0,False
1,4,0.0,50.0,[0.5 0. ],0,False
1,5,0.0,50.0,[0.5 0. ],0,False
1,6,0.0,50.0,[0.5 0. ],0,False
1,7,0.0,50.0,[0.5 0. ],0,False
1,8,0.0,50.0,[0.5 0. ],0,False
1,9,0.0,50.0,[0.5 0. ],0,False
1,10,0.4,150.0,[0.412 0.   ],1,True
1,11,0.0,150.0,[0.5 0. ],1,False
1,12,0.0,150.0,[0.5 0. ],1,False
1,13,0.0,150.0,[0.5 0. ],1,False
1,14,0.0,150.0,[0.5 0. ],1,False
1,15,0.0,150.0,[0.5 0. ],1,False
1,16,0.0,150.0,[0.5 0. ],1,False
1,17,0.0,150.0,[0.5 0. ],1,False
1,18,0.0,150.0,[0.5 0. ],1,False
1,19,0.0,150.0,[0.5 0. ],1,False
2,0,0.9,50.0,[0.329 0.   ],0,True
2,1,0.0,50.0,[0.5 0. ],0,False
2,2,0.0,50.0,[0.5 0. ],0,False
2,3,0.0,50.0,[0.5 0. ],0,False
2,4,0.0,50.0,[0.5 0. ],0,False
2,5,0.0,50.0,[0.5 0. ],0,False
2,6,0.0,50.0,[0.5 0. ],0,False
2,7,0.0,50.0,[0.5 0. ],0,False
2,8,0.0,50.0,[0.5 0. ],0,False
2,9,0.0,50.0,[0.5 0. ],0,False
2,10,0.9,150.0,[0.412 0.   ],1,True
2,11,0.0,150.0,[0.5 0. ],1,False
2,12,0.0,150.0,[0.5 0. ],1,False
2,13,0.0,150.0,[0.5 0. ],1,False
2,14,0.0,150.0,[0.5 0. ],1,False
2,15,0.0,150.0,[0.5 0. ],1,False
2,16,0.0,150.0,[0.5 0. ],1,False
2,17,0.0,150.0,[0.5 0. ],1,False
2,18,0.0,150.0,[0.5 0. ],1,False
2,19,0.0,150.0,[0.5 0. ],1,False
3,0,1.4,50.0,[0.329 0.   ],0,True
3,1,0.0,50.0,[0.5 0. ],0,False
3,2,0.0,50.0,[0.5 0. ],0,False
3,3,0.0,50.0,[0.5 0. ],0,False
3,4,0.0,50.0,[0.5 0. ],0,False
3,5,0.0,50.0,[0.5 0. ],0,False
3,6,0.0,50.0,[0.5 0. ],0,False
3,7,0.0,50.0,[0.5 0. ],0,False
3,8,0.0,50.0,[0.5 0. ],0,False
3,9,0.0,50.0,[0.5 0. ],0,False
3,10,1.4,150.0,[0.412 0.   ],1,True
3,11,0.0,150.0,[0.5 0. ],1,False
3,12,0.0,150.0,[0.5 0. ],1,False
3,13,0.0,150.0,[0.5 0. ],1,False
3,14,0.0,150.0,[0.5 0. ],1,False
3,15,0.0,150.0,[0.5 0. ],1,False
3,16,0.0,150.0,[0.5 0. ],1,False
3,17,0.0,150.0,[0.5 0. ],1,False
3,18,0.0,150.0,[0.5 0. ],1,False
3,19,0.0,150.0,[0.5 0. ],1,False
4,0,1.9,50.0,[0.329 0.   ],0,True
4,1,0.0,50.0,[0.5 0. ],0,False
4,2,0.0,50.0,[0.5 0. ],0,False
4,3,0.0,50.0,[0.5 0. ],0,False
4,4,0.0,50.0,[0.5 0. ],0,False
4,5,0.0,50.0,[0.5 0. ],0,False
4,6,0.0,50.0,[0.5 0. ],0,False
4,7,0.0,50.0,[0.5 0. ],0,False
4,8,0.0,50.0,[0.5 0. ],0,False
4,9,0.0,50.0,[0.5 0. ],0,False
4,10,1.9,150.0,[0.412 0.   ],1,True
4,11,0.0,150.0,[0.5 0. ],1,False
4,12,0.0,150.0,[0.5 0. ],1,False
4,13,0.0,150.0,[0.5 0. ],1,False
4,14,0.0,150.0,[0.5 0. ],1,False
4,15,0.0,150.0,[0.5 0. ],1,False
4,16,0.0,150.0,[0.5 0. ],1,False
4,17,0.0,150.0,[0.5 0. ],1,False
4,18,0.0,150.0,[0.5 0. ],1,False
4,19,0.0,150.0,[0.5 0. ],1,False
5,0,2.4,50.0,[0.329 0.   ],0,True
5,1,0.0,50.0,[0.5 0. ],0,False
5,2,0.0,50.0,[0.5 0. ],0,False
5,3,0.0,50.0,[0.5 0. ],0,False
5,4,0.0,50.0,[0.5 0. ],0,False
5,5,0.0,50.0,[0.5 0. ],0,False
5,6,0.0,50.0,[0.5 0. ],0,False
5,7,0.0,50.0,[0.5 0. ],0,False
5,8,0.0,50.0,[0.5 0. ],0,False
5,9,0.0,50.0,[0.5 0. ],0,False
5,10,2.4,150.0,[0.412 0.   ],1,True
5,11,0.0,150.0,[0.5 0. ],1,False
5,12,0.0,150.0,[0.5 0. ],1,False
5,13,0.0,150.0,[0.5 0. ],1,False
5,14,0.0,150.0,[0.5 0. ],1,False
5,15,0.0,150.0,[0.5 0. ],1,False
5,16,0.0,150.0,[0.5 0. ],1,False
5,17,0.0,150.0,[0.5 0. ],1,False
5,18,0.0,150.0,[0.5 0. ],1,False
5,19,0.0,150.0,[0.5 0. ],1,False
6,0,2.9,50.0,[0.329 0.   ],0,True
6,1,0.0,50.0,[0.5 0. ],0,False
6,2,0.0,50.0,[0.5 0. ],0,False
6,3,0.0,50.0,[0.5 0. ],0,False
6,4,0.0,50.0,[0.5 0. ],0,False
6,5,0.0,50.0,[0.5 0. ],0,False
6,6,0.0,50.0,[0.5 0. ],0,False
6,7,0.0,50.0,[0.5 0. ],0,False
6,8,0.0,50.0,[0.5 0. ],0,False
6,9,0.0,50.0,[0.5 0. ],0,False
6,10,2.9,150.0,[0.412 0.   ],1,True
6,11,0.0,150.0,[0.5 0. ],1,False
6,12,0.0,150.0,[0.5 0. ],1,False
6,13,0.0,150.0,[0.5 0. ],1,False
6,14,0.0,150.0,[0.5 0. ],1,False
6,15,0.0,150.0,[0.5 0. ],1,False
