,DriverID,NodeID,X,current_lane,time
0,0,0,0.0,0,1
1,10,0,0.0,1,1
2,1,0,0.0,0,150
3,11,0,0.0,1,150
4,0,1,100.4,0,201
5,10,1,100.4,1,201
6,2,0,0.0,0,300
7,12,0,0.0,1,300
8,1,1,100.4,0,350
9,11,1,100.4,1,350
10,0,2,200.4,0,401
11,10,2,200.4,1,401
12,3,0,0.0,0,450
13,13,0,0.0,1,450
14,2,1,100.4,0,500
15,12,1,100.4,1,500
16,1,2,200.4,0,550
17,11,2,200.4,1,550
18,4,0,0.0,0,600
19,14,0,0.0,1,600
20,10,3,300.4,1,601
21,0,3,300.225,0,623
22,3,1,100.4,0,650
23,13,1,100.4,1,650
24,2,2,200.4,0,700
25,12,2,200.4,1,700
26,1,3,300.365410544075,0,750
27,5,0,0.0,0,750
28,11,3,300.4,1,750
29,15,0,0.0,1,750
30,4,1,100.4,0,800
31,14,1,100.4,1,800
32,10,4,400.4,1,801
33,3,2,200.4,0,850
34,13,2,200.4,1,850
35,2,3,300.3999999991229,0,900
36,6,0,0.0,0,900
37,12,3,300.4,1,900
38,16,0,0.0,1,900
39,0,4,400.32499999999686,0,930
40,5,1,100.4,0,950
41,11,4,400.4,1,950
42,15,1,100.4,1,950
43,4,2,200.4,0,1000
44,14,2,200.4,1,1000
45,10,5,500.4,1,1001
46,3,3,300.4,0,1050
47,7,0,0.0,0,1050
48,13,3,300.4,1,1050
49,17,0,0.0,1,1050
50,1,4,400.3154803957923,0,1053
51,6,1,100.4,0,1100
52,12,4,400.4,1,1100
53,16,1,100.4,1,1100
54,5,2,200.4,0,1150
55,11,5,500.4,1,1150
56,15,2,200.4,1,1150
57,2,4,400.3059607915877,0,1176
58,4,3,300.4,0,1200
59,8,0,0.0,0,1200
60,14,3,300.4,1,1200
61,18,0,0.0,1,1200
62,10,6,600.4,1,1201
63,0,5,500.0999999999934,0,1237
64,7,1,100.4,0,1250
65,13,4,400.4,1,1250
66,17,1,100.4,1,1250
67,3,4,400.2964411873846,0,1299
68,6,2,200.4,0,1300
69,12,5,500.4,1,1300
70,16,2,200.4,1,1300
71,5,3,300.4,0,1350
72,9,0,0.0,0,1350
73,11,6,600.4,1,1350
74,15,3,300.4,1,1350
75,19,0,0.0,1,1350
76,1,5,500.0904803957937,0,1360
77,8,1,100.4,0,1400
78,14,4,400.4,1,1400
79,18,1,100.4,1,1400
80,10,7,700.4,1,1401
81,4,4,400.2869215469407,0,1422
82,7,2,200.4,0,1450
83,13,5,500.4,1,1450
84,17,2,200.4,1,1450
85,2,5,500.08096079159606,0,1483
86,6,3,300.4,0,1500
87,12,6,600.4,1,1500
88,16,3,300.4,1,1500
89,0,6,600.2530000000035,0,1543
90,5,4,400.3864290227409,0,1550
91,9,1,100.4,0,1550
92,11,7,700.4,1,1550
93,15,4,400.4,1,1550
94,19,1,100.4,1,1550
95,3,5,500.04411063231674,0,1598
96,8,2,200.4,0,1600
97,14,5,500.4,1,1600
98,18,2,200.4,1,1600
99,10,8,800.4,1,1601
100,7,3,300.4,0,1650
101,13,6,600.4,1,1650
102,17,3,300.4,1,1650
103,1,6,600.205359492221,0,1652
104,6,4,400.4,0,1700
105,12,7,700.4,1,1700
106,16,4,400.4,1,1700
107,4,5,500.0114379688467,0,1707
108,9,2,200.4,0,1750
109,11,8,800.4,1,1750
110,15,5,500.4,1,1750
111,19,2,200.4,1,1750
112,2,6,600.1727189844321,0,1761
113,8,3,300.4,0,1800
114,14,6,600.4,1,1800
115,18,3,300.4,1,1800
116,10,9,900.4,1,1801
117,0,7,700.3340000000173,0,1815
118,5,5,500.34679746106093,0,1817
119,7,4,400.4,0,1850
120,13,7,700.4,1,1850
121,17,4,400.4,1,1850
122,3,6,600.1400784766465,0,1870
123,12,8,800.4,1,1900
124,16,5,500.4,1,1900
125,1,7,700.3013594922318,0,1924
126,6,5,500.3141569530321,0,1926
127,9,3,300.4,0,1950
128,11,9,900.4,1,1950
129,15,6,600.4,1,1950
130,19,3,300.4,1,1950
131,4,6,600.1074379688607,0,1979
132,8,4,400.4,0,2000
133,14,7,700.4,1,2000
134,18,4,400.4,1,2000
135,10,10,1000.4,1,2001
136,2,7,700.2687189844462,0,2033
137,7,5,500.3999879273851,0,2050
138,13,8,800.4,1,2050
139,17,5,500.4,1,2050
140,0,8,800.0620000000314,0,2086
141,5,6,600.0747974610749,0,2088
142,12,9,900.4,1,2100
143,16,6,600.4,1,2100
144,3,7,700.2360784766606,0,2142
145,9,4,400.4,0,2150
146,11,10,1000.4,1,2150
147,15,7,700.4,1,2150
148,19,4,400.4,1,2150
149,1,8,800.0293594922458,0,2195
150,6,6,600.0421569532889,0,2197
151,8,5,500.4,0,2200
152,14,8,800.4,1,2200
153,18,5,500.4,1,2200
154,10,11,1100.4,1,2201
155,13,9,900.4,1,2250
156,17,6,600.4,1,2250
157,4,7,700.2034379688748,0,2251
158,12,10,1000.4,1,2300
159,16,7,700.4,1,2300
160,2,8,800.3647189844603,0,2305
161,7,6,600.0095164455029,0,2306
162,9,5,500.4,0,2350
163,11,11,1100.4,1,2350
164,15,8,800.4,1,2350
165,19,5,500.4,1,2350
166,0,9,900.1580000000455,0,2358
167,5,7,700.170797461089,0,2360
