Step,AgentID,X,Y,velocity,current_lane
1,0,0.4,50.0,[0.4272 0.    ],0
1,1,0.0,50.0,[0.5 0. ],0
1,2,0.0,50.0,[0.5 0. ],0
1,3,0.0,50.0,[0.5 0. ],0
1,4,0.0,50.0,[0.5 0. ],0
1,5,0.0,50.0,[0.5 0. ],0
1,6,0.0,50.0,[0.5 0. ],0
1,7,0.0,50.0,[0.5 0. ],0
1,8,0.0,50.0,[0.5 0. ],0
1,9,0.0,50.0,[0.5 0. ],0
1,10,0.4,150.0,[0.5 0. ],1
1,11,0.0,150.0,[0.5 0. ],1
1,12,0.0,150.0,[0.5 0. ],1
1,13,0.0,150.0,[0.5 0. ],1
1,14,0.0,150.0,[0.5 0. ],1
1,15,0.0,150.0,[0.5 0. ],1
1,16,0.0,150.0,[0.5 0. ],1
1,17,0.0,150.0,[0.5 0. ],1
1,18,0.0,150.0,[0.5 0. ],1
1,19,0.0,150.0,[0.5 0. ],1
2,0,0.9,50.0,[0.4272 0.    ],0
2,1,0.0,50.0,[0.5 0. ],0
2,2,0.0,50.0,[0.5 0. ],0
2,3,0.0,50.0,[0.5 0. ],0
2,4,0.0,50.0,[0.5 0. ],0
2,5,0.0,50.0,[0.5 0. ],0
2,6,0.0,50.0,[0.5 0. ],0
2,7,0.0,50.0,[0.5 0. ],0
2,8,0.0,50.0,[0.5 0. ],0
2,9,0.0,50.0,[0.5 0. ],0
2,10,0.9,150.0,[0.5 0. ],1
2,11,0.0,150.0,[0.5 0. ],1
2,12,0.0,150.0,[0.5 0. ],1
2,13,0.0,150.0,[0.5 0. ],1
2,14,0.0,150.0,[0.5 0. ],1
2,15,0.0,150.0,[0.5 0. ],1
2,16,0.0,150.0,[0.5 0. ],1
2,17,0.0,150.0,[0.5 0. ],1
2,18,0.0,150.0,[0.5 0. ],1
2,19,0.0,150.0,[0.5 0. ],1
3,0,1.4,50.0,[0.4272 0.    ],0
3,1,0.0,50.0,[0.5 0. ],0
3,2,0.0,50.0,[0.5 0. ],0
3,3,0.0,50.0,[0.5 0. ],0
3,4,0.0,50.0,[0.5 0. ],0
3,5,0.0,50.0,[0.5 0. ],0
3,6,0.0,50.0,[0.5 0. ],0
3,7,0.0,50.0,[0.5 0. ],0
3,8,0.0,50.0,[0.5 0. ],0
3,9,0.0,50.0,[0.5 0. ],0
3,10,1.4,150.0,[0.5 0. ],1
3,11,0.0,150.0,[0.5 0. ],1
3,12,0.0,150.0,[0.5 0. ],1
3,13,0.0,150.0,[0.5 0. ],1
3,14,0.0,150.0,[0.5 0. ],1
3,15,0.0,150.0,[0.5 0. ],1
3,16,0.0,150.0,[0.5 0. ],1
3,17,0.0,150.0,[0.5 0. ],1
3,18,0.0,150.0,[0.5 0. ],1
3,19,0.0,150.0,[0.5 0. ],1
4,0,1.9,50.0,[0.4272 0.    ],0
4,1,0.0,50.0,[0.5 0. ],0
4,2,0.0,50.0,[0.5 0. ],0
4,3,0.0,50.0,[0.5 0. ],0
4,4,0.0,50.0,[0.5 0. ],0
4,5,0.0,50.0,[0.5 0. ],0
4,6,0.0,50.0,[0.5 0. ],0
4,7,0.0,50.0,[0.5 0. ],0
4,8,0.0,50.0,[0.5 0. ],0
4,9,0.0,50.0,[0.5 0. ],0
4,10,1.9,150.0,[0.5 0. ],1
4,11,0.0,150.0,[0.5 0. ],1
4,12,0.0,150.0,[0.5 0. ],1
4,13,0.0,150.0,[0.5 0. ],1
4,14,0.0,150.0,[0.5 0. ],1
4,15,0.0,150.0,[0.5 0. ],1
4,16,0.0,150.0,[0.5 0. ],1
4,17,0.0,150.0,[0.5 0. ],1
4,18,0.0,150.0,[0.5 0. ],1
4,19,0.0,150.0,[0.5 0. ],1
5,0,2.4,50.0,[0.4272 0.    ],0
5,1,0.0,50.0,[0.5 0. ],0
5,2,0.0,50.0,[0.5 0. ],0
5,3,0.0,50.0,[0.5 0. ],0
5,4,0.0,50.0,[0.5 0. ],0
5,5,0.0,50.0,[0.5 0. ],0
5,6,0.0,50.0,[0.5 0. ],0
5,7,0.0,50.0,[0.5 0. ],0
5,8,0.0,50.0,[0.5 0. ],0
5,9,0.0,50.0,[0.5 0. ],0
5,10,2.4,150.0,[0.5 0. ],1
5,11,0.0,150.0,[0.5 0. ],1
5,12,0.0,150.0,[0.5 0. ],1
5,13,0.0,150.0,[0.5 0. ],1
5,14,0.0,150.0,[0.5 0. ],1
5,15,0.0,150.0,[0.5 0. ],1
5,16,0.0,150.0,[0.5 0. ],1
5,17,0.0,150.0,[0.5 0. ],1
5,18,0.0,150.0,[0.5 0. ],1
5,19,0.0,150.0,[0.5 0. ],1
6,0,2.9,50.0,[0.4272 0.    ],0
6,1,0.0,50.0,[0.5 0. ],0
6,2,0.0,50.0,[0.5 0. ],0
6,3,0.0,50.0,[0.5 0. ],0
6,4,0.0,50.0,[0.5 0. ],0
6,5,0.0,50.0,[0.5 0. ],0
6,6,0.0,50.0,[0.5 0. ],0
6,7,0.0,50.0,[0.5 0. ],0
6,8,0.0,50.0,[0.5 0. ],0
6,9,0.0,50.0,[0.5 0. ],0
6,10,2.9,150.0,[0.5 0. ],1
6,11,0.0,150.0,[0.5 0. ],1
6,12,0.0,150.0,[0.5 0. ],1
6,13,0.0,150.0,[0.5 0. ],1
6,14,0.0,150.0,[0.5 0. ],1
6,15,0.0,150.0,[0.5 0. ],1
6,16,0.0,150.0,[0.5 0. ],1
6,17,0.0,150.0,[0.5 0. ],1
6,18,0.0,150.0,[0.5 0. ],1
6,19,0.0,150.0,[0.5 0. ],1
7,0,3.4,50.0,[0.4272 0.    ],0
7,1,0.0,50.0,[0.5 0. ],0
7,2,0.0,50.0,[0.5 0. ],0
7,3,0.0,50.0,[0.5 0. ],0
7,4,0.0,50.0,[0.5 0. ],0
7,5,0.0,50.0,[0.5 0. ],0
7,6,0.0,50.0,[0.5 0. ],0
7,7,0.0,50.0,[0.5 0. ],0
7,8,0.0,50.0,[0.5 0. ],0
7,9,0.0,50.0,[0.5 0. ],0
7,10,3.4,150.0,[0.5 0. ],1
7,11,0.0,150.0,[0.5 0. ],1
7,12,0.0,150.0,[0.5 0. ],1
7,13,0.0,150.0,[0.5 0. ],1
7,14,0.0,150.0,[0.5 0. ],1
7,15,0.0,150.0,[0.5 0. ],1
7,16,0.0,150.0,[0.5 0. ],1
7,17,0.0,150.0,[0.5 0. ],1
7,18,0.0,150.0,[0.5 0. ],1
7,19,0.0,150.0,[0.5 0. ],1
8,0,3.9,50.0,[0.4272 0.    ],0
8,1,0.0,50.0,[0.5 0. ],0
8,2,0.0,50.0,[0.5 0. ],0
8,3,0.0,50.0,[0.5 0. ],0
8,4,0.0,50.0,[0.5 0. ],0
8,5,0.0,50.0,[0.5 0. ],0
8,6,0.0,50.0,[0.5 0. ],0
8,7,0.0,50.0,[0.5 0. ],0
8,8,0.0,50.0,[0.5 0. ],0
8,9,0.0,50.0,[0.5 0. ],0
8,10,3.9,150.0,[0.5 0. ],1
8,11,0.0,150.0,[0.5 0. ],1
8,12,0.0,150.0,[0.5 0. ],1
8,13,0.0,150.0,[0.5 0. ],1
8,14,0.0,150.0,[0.5 0. ],1
8,15,0.0,150.0,[0.5 0. ],1
8,16,0.0,150.0,[0.5 0. ],1
8,17,0.0,150.0,[0.5 0. ],1
8,18,0.0,150.0,[0.5 0. ],1
8,19,0.0,150.0,[0.5 0. ],1
9,0,4.4,50.0,[0.4272 0.    ],0
9,1,0.0,50.0,[0.5 0. ],0
9,2,0.0,50.0,[0.5 0. ],0
9,3,0.0,50.0,[0.5 0. ],0
9,4,0.0,50.0,[0.5 0. ],0
9,5,0.0,50.0,[0.5 0. ],0
9,6,0.0,50.0,[0.5 0. ],0
9,7,0.0,50.0,[0.5 0. ],0
9,8,0.0,50.0,[0.5 0. ],0
9,9,0.0,50.0,[0.5 0. ],0
9,10,4.4,150.0,[0.5 0. ],1
9,11,0.0,150.0,[0.5 0. ],1
9,12,0.0,150.0,[0.5 0. ],1
9,13,0.0,150.0,[0.5 0. ],1
9,14,0.0,150.0,[0.5 0. ],1
9,15,0.0,150.0,[0.5 0. ],1
9,16,0.0,150.0,[0.5 0. ],1
9,17,0.0,150.0,[0.5 0. ],1
9,18,0.0,150.0,[0.5 0. ],1
9,19,0.0,150.0,[0.5 0. ],1
10,0,4.9,50.0,[0.4272 0.    ],0
10,1,0.0,50.0,[0.5 0. ],0
10,2,0.0,50.0,[0.5 0. ],0
10,3,0.0,50.0,[0.5 0. ],0
10,4,0.0,50.0,[0.5 0. ],0
10,5,0.0,50.0,[0.5 0. ],0
10,6,0.0,50.0,[0.5 0. ],0
10,7,0.0,50.0,[0.5 0. ],0
10,8,0.0,50.0,[0.5 0. ],0
10,9,0.0,50.0,[0.5 0. ],0
10,10,4.9,150.0,[0.5 0. ],1
10,11,0.0,150.0,[0.5 0. ],1
10,12,0.0,150.0,[0.5 0. ],1
10,13,0.0,150.0,[0.5 0. ],1
10,14,0.0,150.0,[0.5 0. ],1
10,15,0.0,150.0,[0.5 0. ],1
10,16,0.0,150.0,[0.5 0. ],1
10,17,0.0,150.0,[0.5 0. ],1
10,18,0.0,150.0,[0.5 0. ],1
10,19,0.0,150.0,[0.5 0. ],1
11,0,5.4,50.0,[0.4272 0.    ],0
11,1,0.0,50.0,[0.5 0. ],0
11,2,0.0,50.0,[0.5 0. ],0
11,3,0.0,50.0,[0.5 0. ],0
11,4,0.0,50.0,[0.5 0. ],0
11,5,0.0,50.0,[0.5 0. ],0
11,6,0.0,50.0,[0.5 0. ],0
11,7,0.0,50.0,[0.5 0. ],0
11,8,0.0,50.0,[0.5 0. ],0
11,9,0.0,50.0,[0.5 0. ],0
11,10,5.4,150.0,[0.5 0. ],1
11,11,0.0,150.0,[0.5 0. ],1
11,12,0.0,150.0,[0.5 0. ],1
11,13,0.0,150.0,[0.5 0. ],1
11,14,0.0,150.0,[0.5 0. ],1
11,15,0.0,150.0,[0.5 0. ],1
11,16,0.0,150.0,[0.5 0. ],1
11,17,0.0,150.0,[0.5 0. ],1
11,18,0.0,150.0,[0.5 0. ],1
11,19,0.0,150.0,[0.5 0. ],1
12,0,5.9,50.0,[0.4272 0.    ],0
12,1,0.0,50.0,[0.5 0. ],0
12,2,0.0,50.0,[0.5 0. ],0
12,3,0.0,50.0,[0.5 0. ],0
12,4,0.0,50.0,[0.5 0. ],0
12,5,0.0,50.0,[0.5 0. ],0
12,6,0.0,50.0,[0.5 0. ],0
12,7,0.0,50.0,[0.5 0. ],0
12,8,0.0,50.0,[0.5 0. ],0
12,9,0.0,50.0,[0.5 0. ],0
12,10,5.9,150.0,[0.5 0. ],1
12,11,0.0,150.0,[0.5 0. ],1
12,12,0.0,150.0,[0.5 0. ],1
12,13,0.0,150.0,[0.5 0. ],1
12,14,0.0,150.0,[0.5 0. ],1
12,15,0.0,150.0,[0.5 0. ],1
12,16,0.0,150.0,[0.5 0. ],1
12,17,0.0,150.0,[0.5 0. ],1
