Step,AgentID,X,Y,velocity,current_lane
1,0,0.4,166.66666666666669,[0.5 0. ],2
1,1,0.0,166.66666666666669,[0.5 0. ],2
1,2,0.01,100.0,[0.4 0. ],1
1,3,0.07,33.333333333333336,[0.2 0. ],0
1,4,0.0,33.333333333333336,[0.2 0. ],0
2,0,0.9,166.66666666666669,[0.5 0. ],2
2,1,0.0,166.66666666666669,[0.5 0. ],2
2,2,0.03,100.0,[0.4 0. ],1
2,3,0.21000000000000002,33.333333333333336,[0.2 0. ],0
2,4,0.0,33.333333333333336,[0.2 0. ],0
3,0,1.4,166.66666666666669,[0.5 0. ],2
3,1,0.0,166.66666666666669,[0.5 0. ],2
3,2,0.06,100.0,[0.4 0. ],1
3,3,0.41000000000000003,33.333333333333336,[0.2 0. ],0
3,4,0.0,33.333333333333336,[0.2 0. ],0
4,0,1.9,166.66666666666669,[0.5 0. ],2
4,1,0.0,166.66666666666669,[0.5 0. ],2
4,2,0.1,100.0,[0.4 0. ],1
4,3,0.6100000000000001,33.333333333333336,[0.2 0. ],0
4,4,0.0,33.333333333333336,[0.2 0. ],0
5,0,2.4,166.66666666666669,[0.5 0. ],2
5,1,0.0,166.66666666666669,[0.5 0. ],2
5,2,0.15000000000000002,100.0,[0.4 0. ],1
5,3,0.81,33.333333333333336,[0.2 0. ],0
5,4,0.0,33.333333333333336,[0.2 0. ],0
6,0,2.9,166.66666666666669,[0.5 0. ],2
6,1,0.0,166.66666666666669,[0.5 0. ],2
6,2,0.21000000000000002,100.0,[0.4 0. ],1
6,3,1.01,33.333333333333336,[0.2 0. ],0
6,4,0.0,33.333333333333336,[0.2 0. ],0
7,0,3.4,166.66666666666669,[0.5 0. ],2
7,1,0.0,166.66666666666669,[0.5 0. ],2
7,2,0.28,100.0,[0.4 0. ],1
7,3,1.21,33.333333333333336,[0.2 0. ],0
7,4,0.0,33.333333333333336,[0.2 0. ],0
8,0,3.9,166.66666666666669,[0.5 0. ],2
8,1,0.0,166.66666666666669,[0.5 0. ],2
8,2,0.36000000000000004,100.0,[0.4 0. ],1
8,3,1.41,33.333333333333336,[0.2 0. ],0
8,4,0.0,33.333333333333336,[0.2 0. ],0
9,0,4.4,166.66666666666669,[0.5 0. ],2
9,1,0.0,166.66666666666669,[0.5 0. ],2
9,2,0.45000000000000007,100.0,[0.4 0. ],1
9,3,1.6099999999999999,33.333333333333336,[0.2 0. ],0
9,4,0.0,33.333333333333336,[0.2 0. ],0
10,0,4.9,166.66666666666669,[0.5 0. ],2
10,1,0.0,166.66666666666669,[0.5 0. ],2
10,2,0.55,100.0,[0.4 0. ],1
10,3,1.8099999999999998,33.333333333333336,[0.2 0. ],0
10,4,0.0,33.333333333333336,[0.2 0. ],0
11,0,5.4,166.66666666666669,[0.5 0. ],2
11,1,0.0,166.66666666666669,[0.5 0. ],2
11,2,0.66,100.0,[0.4 0. ],1
11,3,2.01,33.333333333333336,[0.2 0. ],0
11,4,0.0,33.333333333333336,[0.2 0. ],0
12,0,5.9,166.66666666666669,[0.5 0. ],2
12,1,0.0,166.66666666666669,[0.5 0. ],2
12,2,0.78,100.0,[0.4 0. ],1
12,3,2.21,33.333333333333336,[0.2 0. ],0
12,4,0.0,33.333333333333336,[0.2 0. ],0
13,0,6.4,166.66666666666669,[0.5 0. ],2
13,1,0.0,166.66666666666669,[0.5 0. ],2
13,2,0.91,100.0,[0.4 0. ],1
13,3,2.41,33.333333333333336,[0.2 0. ],0
13,4,0.0,33.333333333333336,[0.2 0. ],0
14,0,6.9,166.66666666666669,[0.5 0. ],2
14,1,0.0,166.66666666666669,[0.5 0. ],2
14,2,1.05,100.0,[0.4 0. ],1
14,3,2.6100000000000003,33.333333333333336,[0.2 0. ],0
14,4,0.0,33.333333333333336,[0.2 0. ],0
15,0,7.4,166.66666666666669,[0.5 0. ],2
15,1,0.0,166.66666666666669,[0.5 0. ],2
15,2,1.2,100.0,[0.4 0. ],1
15,3,2.8100000000000005,33.333333333333336,[0.2 0. ],0
15,4,0.0,33.333333333333336,[0.2 0. ],0
16,0,7.9,166.66666666666669,[0.5 0. ],2
16,1,0.0,166.66666666666669,[0.5 0. ],2
16,2,1.3599999999999999,100.0,[0.4 0. ],1
16,3,3.0100000000000007,33.333333333333336,[0.2 0. ],0
16,4,0.0,33.333333333333336,[0.2 0. ],0
17,0,8.4,166.66666666666669,[0.5 0. ],2
17,1,0.0,166.66666666666669,[0.5 0. ],2
17,2,1.5299999999999998,100.0,[0.4 0. ],1
17,3,3.210000000000001,33.333333333333336,[0.2 0. ],0
17,4,0.0,33.333333333333336,[0.2 0. ],0
18,0,8.9,166.66666666666669,[0.5 0. ],2
18,1,0.0,166.66666666666669,[0.5 0. ],2
18,2,1.7099999999999997,100.0,[0.4 0. ],1
18,3,3.410000000000001,33.333333333333336,[0.2 0. ],0
18,4,0.0,33.333333333333336,[0.2 0. ],0
19,0,9.4,166.66666666666669,[0.5 0. ],2
19,1,0.0,166.66666666666669,[0.5 0. ],2
19,2,1.8999999999999997,100.0,[0.4 0. ],1
19,3,3.610000000000001,33.333333333333336,[0.2 0. ],0
19,4,0.0,33.333333333333336,[0.2 0. ],0
20,0,9.9,166.66666666666669,[0.5 0. ],2
20,1,0.0,166.66666666666669,[0.5 0. ],2
20,2,2.0999999999999996,100.0,[0.4 0. ],1
20,3,3.8100000000000014,33.333333333333336,[0.2 0. ],0
20,4,0.0,33.333333333333336,[0.2 0. ],0
21,0,10.4,166.66666666666669,[0.5 0. ],2
21,1,0.0,166.66666666666669,[0.5 0. ],2
21,2,2.3099999999999996,100.0,[0.4 0. ],1
21,3,4.010000000000002,33.333333333333336,[0.2 0. ],0
21,4,0.0,33.333333333333336,[0.2 0. ],0
22,0,10.9,166.66666666666669,[0.5 0. ],2
22,1,0.0,166.66666666666669,[0.5 0. ],2
22,2,2.53,100.0,[0.4 0. ],1
22,3,4.210000000000002,33.333333333333336,[0.2 0. ],0
