Step,AgentID,X,Y,Velocity,Current_lane,Is_alive
1,0,1.2871033923783484,166.66666666666669,[1.28710339 0.        ],2,True
1,1,1.2212915953915915,100.0,[1.2212916 0.       ],1,True
1,2,0.0,166.66666666666669,[1.35870142 0.        ],2,False
1,3,0.0,166.66666666666669,[1.34856722 0.        ],2,False
1,4,0.0,166.66666666666669,[1.34693882 0.        ],2,False
1,5,0.0,166.66666666666669,[1.2981571 0.       ],2,False
1,6,0.0,166.66666666666669,[1.73762332 0.        ],2,False
1,7,1.2991877913917436,33.333333333333336,[1.29918779 0.        ],0,True
1,8,0.0,166.66666666666669,[1.2246826 0.       ],2,False
1,9,0.0,100.0,[1.37563433 0.        ],1,False
2,0,2.5742067847566967,166.66666666666669,[1.28710339 0.        ],2,True
2,1,2.442583190783183,100.0,[1.2212916 0.       ],1,True
2,2,0.0,166.66666666666669,[1.35870142 0.        ],2,False
2,3,0.0,166.66666666666669,[1.34856722 0.        ],2,False
2,4,0.0,166.66666666666669,[1.34693882 0.        ],2,False
2,5,0.0,166.66666666666669,[1.2981571 0.       ],2,False
2,6,0.0,166.66666666666669,[1.73762332 0.        ],2,False
2,7,2.598375582783487,33.333333333333336,[1.29918779 0.        ],0,True
2,8,0.0,166.66666666666669,[1.2246826 0.       ],2,False
2,9,0.0,100.0,[1.37563433 0.        ],1,False
3,0,3.861310177135045,166.66666666666669,[1.28710339 0.        ],2,True
3,1,3.6638747861747745,100.0,[1.2212916 0.       ],1,True
3,2,0.0,166.66666666666669,[1.35870142 0.        ],2,False
3,3,0.0,166.66666666666669,[1.34856722 0.        ],2,False
3,4,0.0,166.66666666666669,[1.34693882 0.        ],2,False
3,5,0.0,166.66666666666669,[1.2981571 0.       ],2,False
3,6,0.0,166.66666666666669,[1.73762332 0.        ],2,False
3,7,3.8975633741752307,33.333333333333336,[1.29918779 0.        ],0,True
3,8,0.0,166.66666666666669,[1.2246826 0.       ],2,False
3,9,0.0,100.0,[1.37563433 0.        ],1,False
4,0,5.1484135695133935,166.66666666666669,[1.28710339 0.        ],2,True
4,1,4.885166381566366,100.0,[1.2212916 0.       ],1,True
4,2,0.0,166.66666666666669,[1.35870142 0.        ],2,False
4,3,0.0,166.66666666666669,[1.34856722 0.        ],2,False
4,4,0.0,166.66666666666669,[1.34693882 0.        ],2,False
4,5,0.0,166.66666666666669,[1.2981571 0.       ],2,False
4,6,0.0,166.66666666666669,[1.73762332 0.        ],2,False
4,7,5.196751165566974,33.333333333333336,[1.29918779 0.        ],0,True
4,8,0.0,166.66666666666669,[1.2246826 0.       ],2,False
4,9,0.0,100.0,[1.37563433 0.        ],1,False
5,0,6.435516961891742,166.66666666666669,[1.28710339 0.        ],2,True
5,1,6.106457976957957,100.0,[1.2212916 0.       ],1,True
5,2,0.0,166.66666666666669,[1.35870142 0.        ],2,False
5,3,0.0,166.66666666666669,[1.34856722 0.        ],2,False
5,4,0.0,166.66666666666669,[1.34693882 0.        ],2,False
5,5,0.0,166.66666666666669,[1.2981571 0.       ],2,False
5,6,0.0,166.66666666666669,[1.73762332 0.        ],2,False
5,7,6.495938956958717,33.333333333333336,[1.29918779 0.        ],0,True
5,8,0.0,166.66666666666669,[1.2246826 0.       ],2,False
5,9,0.0,100.0,[1.37563433 0.        ],1,False
6,0,7.722620354270091,166.66666666666669,[1.28710339 0.        ],2,True
6,1,7.327749572349548,100.0,[1.2212916 0.       ],1,True
6,2,0.0,166.66666666666669,[1.35870142 0.        ],2,False
6,3,0.0,166.66666666666669,[1.34856722 0.        ],2,False
6,4,0.0,166.66666666666669,[1.34693882 0.        ],2,False
6,5,0.0,166.66666666666669,[1.2981571 0.       ],2,False
6,6,0.0,166.66666666666669,[1.73762332 0.        ],2,False
6,7,7.7951267483504605,33.333333333333336,[1.29918779 0.        ],0,True
6,8,0.0,166.66666666666669,[1.2246826 0.       ],2,False
6,9,0.0,100.0,[1.37563433 0.        ],1,False
7,0,9.009723746648438,166.66666666666669,[1.28710339 0.        ],2,True
7,1,8.549041167741139,100.0,[1.2212916 0.       ],1,True
7,2,0.0,166.66666666666669,[1.35870142 0.        ],2,False
7,3,0.0,166.66666666666669,[1.34856722 0.        ],2,False
7,4,0.0,166.66666666666669,[1.34693882 0.        ],2,False
7,5,0.0,166.66666666666669,[1.2981571 0.       ],2,False
7,6,0.0,166.66666666666669,[1.73762332 0.        ],2,False
7,7,9.094314539742204,33.333333333333336,[1.29918779 0.        ],0,True
7,8,0.0,166.66666666666669,[1.2246826 0.       ],2,False
7,9,0.0,100.0,[1.37563433 0.        ],1,False
8,0,10.296827139026787,166.66666666666669,[1.28710339 0.        ],2,True
8,1,9.77033276313273,100.0,[1.2212916 0.       ],1,True
8,2,0.0,166.66666666666669,[1.35870142 0.        ],2,False
8,3,0.0,166.66666666666669,[1.34856722 0.        ],2,False
8,4,0.0,166.66666666666669,[1.34693882 0.        ],2,False
8,5,0.0,166.66666666666669,[1.2981571 0.       ],2,False
8,6,0.0,166.66666666666669,[1.73762332 0.        ],2,False
8,7,10.393502331133947,33.333333333333336,[1.29918779 0.        ],0,True
8,8,0.0,166.66666666666669,[1.2246826 0.       ],2,False
8,9,0.0,100.0,[1.37563433 0.        ],1,False
9,0,11.583930531405136,166.66666666666669,[1.28710339 0.        ],2,True
9,1,10.991624358524321,100.0,[1.2212916 0.       ],1,True
9,2,0.0,166.66666666666669,[1.35870142 0.        ],2,False
9,3,0.0,166.66666666666669,[1.34856722 0.        ],2,False
9,4,0.0,166.66666666666669,[1.34693882 0.        ],2,False
9,5,0.0,166.66666666666669,[1.2981571 0.       ],2,False
9,6,0.0,166.66666666666669,[1.73762332 0.        ],2,False
9,7,11.69269012252569,33.333333333333336,[1.29918779 0.        ],0,True
9,8,0.0,166.66666666666669,[1.2246826 0.       ],2,False
9,9,0.0,100.0,[1.37563433 0.        ],1,False
10,0,12.871033923783484,166.66666666666669,[1.28710339 0.        ],2,True
10,1,12.212915953915912,100.0,[1.2212916 0.       ],1,True
10,2,0.0,166.66666666666669,[1.35870142 0.        ],2,False
10,3,0.0,166.66666666666669,[1.34856722 0.        ],2,False
10,4,0.0,166.66666666666669,[1.34693882 0.        ],2,False
10,5,0.0,166.66666666666669,[1.2981571 0.       ],2,False
10,6,0.0,166.66666666666669,[1.73762332 0.        ],2,False
10,7,12.991877913917433,33.333333333333336,[1.29918779 0.        ],0,True
10,8,0.0,166.66666666666669,[1.2246826 0.       ],2,False
10,9,0.0,100.0,[1.37563433 0.        ],1,False
11,0,14.158137316161833,166.66666666666669,[1.28710339 0.        ],2,True
11,1,13.434207549307503,100.0,[1.2212916 0.       ],1,True
11,2,0.0,166.66666666666669,[1.35870142 0.        ],2,False
11,3,0.0,166.66666666666669,[1.34856722 0.        ],2,False
11,4,0.0,166.66666666666669,[1.34693882 0.        ],2,False
11,5,0.0,166.66666666666669,[1.2981571 0.       ],2,False
11,6,0.0,166.66666666666669,[1.73762332 0.        ],2,False
11,7,14.291065705309176,33.333333333333336,[1.29918779 0.        ],0,True
11,8,0.0,166.66666666666669,[1.2246826 0.       ],2,False
11,9,0.0,100.0,[1.37563433 0.        ],1,False
12,0,15.445240708540181,166.66666666666669,[1.28710339 0.        ],2,True
12,1,14.655499144699094,100.0,[1.2212916 0.       ],1,True
12,2,0.0,166.66666666666669,[1.35870142 0.        ],2,False
12,3,0.0,166.66666666666669,[1.34856722 0.        ],2,False
12,4,0.0,166.66666666666669,[1.34693882 0.        ],2,False
12,5,0.0,166.66666666666669,[1.2981571 0.       ],2,False
12,6,0.0,166.66666666666669,[1.73762332 0.        ],2,False
12,7,15.59025349670092,33.333333333333336,[1.29918779 0.        ],0,True
12,8,0.0,166.66666666666669,[1.2246826 0.       ],2,False
12,9,0.0,100.0,[1.37563433 0.        ],1,False
13,0,16.732344100918528,166.66666666666669,[1.28710339 0.        ],2,True
13,1,15.876790740090685,100.0,[1.2212916 0.       ],1,True
13,2,0.0,166.66666666666669,[1.35870142 0.        ],2,False
13,3,0.0,166.66666666666669,[1.34856722 0.        ],2,False
13,4,0.0,166.66666666666669,[1.34693882 0.        ],2,False
13,5,0.0,166.66666666666669,[1.2981571 0.       ],2,False
13,6,0.0,166.66666666666669,[1.73762332 0.        ],2,False
13,7,16.889441288092662,33.333333333333336,[1.29918779 0.        ],0,True
13,8,0.0,166.66666666666669,[1.2246826 0.       ],2,False
13,9,0.0,100.0,[1.37563433 0.        ],1,False
14,0,18.019447493296877,166.66666666666669,[1.28710339 0.        ],2,True
14,1,17.098082335482278,100.0,[1.2212916 0.       ],1,True
14,2,0.0,166.66666666666669,[1.35870142 0.        ],2,False
14,3,0.0,166.66666666666669,[1.34856722 0.        ],2,False
14,4,0.0,166.66666666666669,[1.34693882 0.        ],2,False
14,5,0.0,166.66666666666669,[1.2981571 0.       ],2,False
14,6,0.0,166.66666666666669,[1.73762332 0.        ],2,False
14,7,18.188629079484407,33.333333333333336,[1.29918779 0.        ],0,True
14,8,0.0,166.66666666666669,[1.2246826 0.       ],2,False
14,9,0.0,100.0,[1.37563433 0.        ],1,False
15,0,19.306550885675225,166.66666666666669,[1.28710339 0.        ],2,True
15,1,18.31937393087387,100.0,[1.2212916 0.       ],1,True
15,2,0.0,166.66666666666669,[1.35870142 0.        ],2,False
15,3,0.0,166.66666666666669,[1.34856722 0.        ],2,False
15,4,0.0,166.66666666666669,[1.34693882 0.        ],2,False
15,5,0.0,166.66666666666669,[1.2981571 0.       ],2,False
15,6,0.0,166.66666666666669,[1.73762332 0.        ],2,False
15,7,19.487816870876152,33.333333333333336,[1.29918779 0.        ],0,True
15,8,0.0,166.66666666666669,[1.2246826 0.       ],2,False
15,9,0.0,100.0,[1.37563433 0.        ],1,False
16,0,20.593654278053574,166.66666666666669,[1.28710339 0.        ],2,True
16,1,19.54066552626546,100.0,[1.2212916 0.       ],1,True
16,2,0.0,166.66666666666669,[1.35870142 0.        ],2,False
16,3,0.0,166.66666666666669,[1.34856722 0.        ],2,False
16,4,0.0,166.66666666666669,[1.34693882 0.        ],2,False
16,5,0.0,166.66666666666669,[1.2981571 0.       ],2,False
16,6,0.0,166.66666666666669,[1.73762332 0.        ],2,False
16,7,20.787004662267897,33.333333333333336,[1.29918779 0.        ],0,True
16,8,0.0,166.66666666666669,[1.2246826 0.       ],2,False
16,9,0.0,100.0,[1.37563433 0.        ],1,False
17,0,21.880757670431922,166.66666666666669,[1.28710339 0.        ],2,True
17,1,20.76195712165705,100.0,[1.2212916 0.       ],1,True
17,2,0.0,166.66666666666669,[1.35870142 0.        ],2,False
17,3,0.0,166.66666666666669,[1.34856722 0.        ],2,False
17,4,0.0,166.66666666666669,[1.34693882 0.        ],2,False
