,DriverID,NodeID,X,current_lane,time
0,0,0,0.0,2,1
1,2,0,0.0,1,1
2,3,0,0.0,0,1
3,1,0,0.0,2,150
4,4,0,0.0,0,150
5,0,1,100.11387852901126,2,476
6,1,1,100.09945344715636,2,560
7,3,1,100.17695063100307,0,596
8,4,1,100.06235570410871,0,1208
9,0,2,300.2593944826329,2,1276
10,1,2,300.25116626178703,2,1360
11,3,2,300.1769506309937,0,1596
12,4,2,300.00603215384115,0,2208
13,0,3,700.2334065602842,2,2428
14,1,3,700.2862306960544,2,2742
15,0,4,760.0290219445197,2,2779
16,2,1,100.00084964506235,1,2813
17,1,4,760.0142559697548,2,2863
18,0,5,900.2160210880019,2,3180
19,1,5,900.1959713473271,2,3264
