n_agents,max_speed_avg,max_speed_dev,desired_distance_avg,desired_distance_dev,acceleration_avg,acceleration_dev,n_lanes,t_start,t_end,x_start,x_end,measure_point_x,accepted_dist_delta,window_size,average_velocity,rolling_average_density,rolling_average_flow
50,0.75,0.4,30,0,1.5,0.3,3,476,2492,500,600,500,10,100,1.3519475484013268,0.0497524752475247,3.35
50,1.0,0.4,30,0,1.5,0.3,3,4336,5810,500,600,500,10,100,1.3682879960385526,0.0435254237288134,4.428571428571429
50,1.25,0.4,30,0,1.5,0.3,3,7223,8566,500,600,500,10,100,1.3726703720030795,0.032527881040892,4.076923076923077
50,1.5,0.4,30,0,1.5,0.3,3,9538,10632,500,600,500,10,100,1.36994556304751,0.0331506849315068,5.3
50,1.75,0.4,30,0,1.5,0.3,3,11391,12421,500,600,500,10,100,1.362209508280704,0.0297101449275361,5.2
50,2.0,0.4,30,0,1.5,0.3,3,13027,14087,500,600,500,10,100,1.3490852446117725,0.0238497652582158,5.0
50,0.75,0.4,30,0,1.5,0.3,3,512,2507,500,600,500,10,100,1.344189999949473,0.0443999999999999,3.3684210526315788
50,1.0,0.4,30,0,1.5,0.3,3,4330,5728,500,600,500,10,100,1.360569927781473,0.0474285714285713,4.846153846153846
50,1.25,0.4,30,0,1.5,0.3,3,7108,8272,500,600,500,10,100,1.365298164705462,0.0367811158798282,4.454545454545454
50,1.5,0.4,30,0,1.5,0.3,3,9333,10241,500,600,500,10,100,1.3638618002110992,0.0413736263736263,6.111111111111111
50,1.75,0.4,30,0,1.5,0.3,3,10952,11894,500,600,500,10,100,1.3556304197650646,0.0324867724867724,6.0
50,2.0,0.4,30,0,1.5,0.3,3,12442,13394,500,600,500,10,100,1.3424450096980705,0.0265968586387434,6.333333333333333
50,1.25,0.4,30,0,1.5,0.3,3,524,1579,500,600,500,10,100,1.8943565760990124,0.049009433962264,6.5
50,1.5,0.4,30,0,1.5,0.3,3,2465,3465,500,600,500,10,100,1.9038304100313967,0.0350746268656715,5.4
50,1.75,0.4,30,0,1.5,0.3,3,4131,5455,500,600,500,10,100,1.906589941470492,0.0221509433962263,4.0
50,2.0,0.4,30,0,1.5,0.3,3,6080,7266,500,600,500,10,100,1.9053800061170096,0.0222268907563024,4.818181818181818
50,2.25,0.4,30,0,1.5,0.3,3,7777,8706,500,600,500,10,100,1.9003415744815364,0.0253225806451612,6.0
50,2.5,0.4,30,0,1.5,0.3,3,9247,10263,500,600,500,10,100,1.89046027391922,0.0192156862745097,5.3
50,0.75,0.4,30,0,1.5,0.3,3,481,2524,500,600,500,10,100,1.742846566920393,0.0434718826405867,3.15
50,1.25,0.4,30,0,1.5,0.3,3,4504,5717,500,600,500,10,100,1.76240740166413,0.0400823045267488,4.75
50,1.75,0.4,30,0,1.5,0.3,3,6530,7626,500,600,500,10,100,1.7626993731564993,0.0271818181818181,5.1
50,2.0,0.4,30,0,1.5,0.3,3,8278,9283,500,600,500,10,100,1.758005962247007,0.0258415841584157,5.2
50,2.25,0.4,30,0,1.5,0.3,3,9731,10734,500,600,500,10,100,1.749107508035474,0.0222885572139302,5.2
50,2.5,0.4,30,0,1.5,0.3,3,11166,12171,500,600,500,10,100,1.7364363725460286,0.0199999999999999,5.2
50,0.75,0.4,30,0,1.5,0.3,3,473,3297,500,600,500,10,100,1.4776451721448638,0.0335221238938052,2.5357142857142856
50,1.0,0.4,30,0,1.5,0.3,3,4394,6224,500,600,500,10,100,1.4980154217563288,0.0325340599455039,3.388888888888889
50,1.25,0.4,30,0,1.5,0.3,3,7608,8548,500,600,500,10,100,1.5090188182772095,0.0528571428571428,6.777777777777778
50,1.75,0.4,30,0,1.5,0.3,3,9473,10552,500,600,500,10,100,1.5043329153405096,0.0285648148148147,5.7
50,2.0,0.4,30,0,1.5,0.3,3,11148,12278,500,600,500,10,100,1.4947077012489824,0.0223788546255505,4.636363636363637
50,2.25,0.4,30,0,1.5,0.3,3,12828,13806,500,600,500,10,100,1.4814887798570269,0.0228061224489795,5.666666666666667
75,0.75,0.4,30,0,1.5,0.3,3,490,3431,500,600,500,10,100,1.4478100563149054,0.0561120543293716,3.793103448275862
75,1.0,0.4,30,0,1.5,0.3,3,5559,7281,500,600,500,10,100,1.4612803768367633,0.053768115942029,5.470588235294118
75,1.25,0.4,30,0,1.5,0.3,3,8536,10094,500,600,500,10,100,1.4664891285474015,0.0467628205128203,5.8
75,1.75,0.4,30,0,1.5,0.3,3,10948,12509,500,600,500,10,100,1.462661631274288,0.0297124600638976,5.6
75,2.0,0.4,30,0,1.5,0.3,3,13153,14683,500,600,500,10,100,1.4561437646033593,0.025244299674267,5.266666666666667
75,2.25,0.4,30,0,1.5,0.3,3,15193,16763,500,600,500,10,100,1.4471800502825776,0.0216507936507935,5.2
